code,label
table_tennis,Настольный теннис
tennis,Большой теннис
padel,Падел
squash,Сквош
badminton,Бадминтон
volleyball,Волейбол
fitness,Фитнесс (Спортзал)
boxing,Бокс
yoga,Йога
football,Футбол
