name
Крестовский остров
Чкаловская
Московская
Парнас
Юго-Западная
Гражданский проспект
Беговая
Улица Дыбенко
Ладожская
Комендантский проспект
Площадь Ленина
Академическая
Площадь Мужества
Приморская
Проспект Просвещения
Новочеркасская
Выборгская
Чернышевская
Елизаровская
Парк Победы
Пионерская
Горный институт
Удельная
Ломоносовская
Проспект Славы
Старая Деревня
Озерки
Чёрная речка
Проспект Ветеранов
Петроградская
Василеостровская
Зенит
Международная
Площадь Александра Невского 2
Горьковская
Дунайская
Ленинский проспект
Лесная
Площадь Восстания
Нарвская
Электросила
Проспект Большевиков
Спортивная
Балтийская
Спасская
Политехническая
Площадь Александра Невского 1
Маяковская
Звёздная
Гостиный двор
Пушкинская
Московские ворота
Достоевская
Невский проспект
Автово
Звенигородская
Садовая
Технологический институт 1
Рыбацкое
Пролетарская
Бухарестская
Владимирская
Сенная площадь
Лиговский проспект
Кировский завод
Адмиралтейская
